标题,评分,评分人数,导演,主演,标签,类型,上映日期,片长,剧情简介,海报图片,制片国家/地区,语言,又名,IMDb,豆瓣url,集数
海市蜃楼 Durante la tormenta,7.6,379358,奥里奥尔·保罗,"阿德里亚娜·乌加特, 奇诺·达林, 阿尔瓦罗·莫奇, 诺拉·纳瓦斯, 米格尔·费南德斯, 哈维尔·古铁雷斯, 克拉拉·塞古拉, 米玛·里埃拉, 艾娜·克洛特, 阿尔伯特·佩雷斯, 胡里奥·博伊加斯-库托, 露娜·馥尔亨西奥, 露丝·略皮斯, 弗兰塞斯克·奥雷利亚, 阿娜·瓦格纳, 西尔维亚·阿隆索, 贝伦·鲁埃达","科幻, 悬疑, 惊悚",电影,2019-03-28(中国大陆),128分钟,"小男孩尼克（胡里奥·博希加斯 Julio Bohigas-Couto 饰）在一个风雨交加的夜晚目睹了邻居安吉尔（哈维尔·古铁雷斯 Javier Gutiérrez 饰）杀害自己妻子的场面。在和安吉尔的追逐之中，一辆车将尼克撞倒，导致了他的死亡。一晃眼多年过去，薇拉（阿德丽安娜·尤加特 Adriana Ugarte 饰）和丈夫大卫（阿尔瓦罗·莫奇 Álvaro Morte 饰）带着他们的女儿住进了尼克曾经居住过的房子。
                                    
                                　　有一个电闪雷鸣的夜晚，薇拉意外的在电视里看到了尼克，让薇拉感到震惊的是，自己似乎能够通过电视和25年前的尼克对话。在薇拉的告诫之下，尼克免于一死，但过去的改变也牵连着薇拉的生活发生了巨变。大卫不再是薇拉的丈夫，而他们的女儿自然也不复存在。",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2551172384.jpg,西班牙,西班牙语,幻象(台) / 暴风雨的幻象 / 风暴 / During the Storm / Mirage,tt6908274,https://movie.douban.com/subject/30164448/,1
超能奇才 Prodigy,5.9,1145,艾历克斯·豪希,"理查德·尼尔, 萨凡纳莱尔斯, 乔琳·安德森, Emilio Palame, David Linski, Harvey Q. Johnson, Aral Gribble, Avery Barkdull, Trevor Castillo, Penelope Figueroa, Markus Haskins, Christina Holder, Alexandra Matthew","科幻, 惊悚",电影,2017-03-04(Cinequest电影节),80分钟,讲述一位心理学家在一场斗智斗勇的战斗中与一位危险的年轻天才进行交往 - 她不知道女孩拥有的超自然力量，或者她的生命处于平衡状态。心理学家吉米，负责治疗一个危险的小天才，殊不知她拥有超自然力量，但生命却危在旦夕……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2516970354.jpg,美国,英语,神童,tt5017936,https://movie.douban.com/subject/30163472/,1
敲敲门 Knock Knock,5.1,12223,伊莱·罗斯,"安娜·德·阿玛斯, Lorenza Izzo, 亚伦·伯恩斯","惊悚, 恐怖",电影,2015-01-23(圣丹斯电影节),99分钟,"小有名气的建筑师埃文·韦伯（基努·里维斯 Keanu Reeves 饰）事业有成，生活美满。他住在洛杉矶一套亲手设计的别墅中，妻子凯伦（伊格纳西·阿尔曼德 Ignacia Allamand 饰）美艳动人，一双儿女杰克（Dan Baily 饰）和莉莎（Megan Baily 饰）乖巧可爱。某个假日，凯伦驱车带着孩子们外出度假，留下埃文一人在家中工作。瓢泼大雨之夜，艾文突然听到了敲门声。来者是被淋成落汤鸡的女孩贝尔（安娜·德·阿玛斯 Ana de Armas 饰）和吉妮丝（洛伦扎·伊佐 Lorenza Izzo 饰），他们迷失方向，请求埃文提供帮助。两个女孩就像善解人意又诱惑媚人的小妖精，让埃文多少有些把持不住。
                                    
                                　　色字头上一把刀，世间哪有从天而降的美食和便宜……",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266606454.jpg,智利 / 美国,英语,半夜女敲门(港) / 当辣妹来敲门(台) / 危险拜访 / 扣扣,tt3605418,https://movie.douban.com/subject/25860868/,1
釜山行2：半岛 부산행2-반도,5.1,133253,延尚昊,"姜栋元, 李贞贤, 权海骁, 李来, 金敏载, 具教焕, 金度允, 李艺媛, 张素妍, 文宇振, 丹尼尔·乔伊·奥尔布赖特, 车始元, Pierce Conran, 特莉·多蒂, Geoffrey Giuliano, Christopher Gordon, Yeon-hee Hwang","动作, 惊悚, 恐怖",电影,2020-07-15(韩国),115分钟,"故事承接上一部，开完釜山的列车带来丧尸病毒。转眼四年过去，病毒蔓延全国，朝鲜半岛遭到全世界遗弃。退伍军人正锡（姜东元 饰）在最后时刻带着家人们登上难民船，谁知船上依然混入了被感染者，悲剧再度上演。最终，难民船改道开往中国香港，侥幸逃生的正锡以难民身份在这座城市的最底层艰难求生。偶然机缘，他接到一个“地下任务”，美国人在韩国遗失了巨额现金，亟需有人能够潜入这片死亡区域把钱取回来，与此同时这些人能够取得丰厚报酬。看在钱的份上，正锡和一群同伴踏上了这片熟悉而又陌生的土地。
                                    
                                　　夜幕降临的韩国，四周一片死寂，而那些沉睡良久的丧尸，似乎正等待着“食物”的到来……",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2610358497.jpg,韩国,韩语 / 英语 / 粤语,釜山行2 / 半岛 / 尸杀半岛(港) / 尸速列车：感染半岛(台) / Peninsula / Train to Busan 2,tt8850222,https://movie.douban.com/subject/30299515/,1
哈奴曼 Hanu Man,5.2,277,Prasanth Varma,"特贾·萨贾, Amritha Aiyer, 瓦拉拉克什米·萨拉特库马尔, 维奈莱, 维尼拉·基肖尔, 塞缪拉卡尼, Satya, Getup Srinu, Deepak Shetty, 拉维·泰贾, Koushik Mahata, 巴努·普拉卡什","动作, 奇幻, 冒险",电影,2024-01-12(印度),158分钟,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2902217941.jpg,印度,印地语 / 马拉雅拉姆语 / 卡纳达语 / 泰米尔语 / 英语 / 日语 / 汉语普通话 / 西班牙语 / 韩语 / 泰卢固语,,tt15433956,https://movie.douban.com/subject/36214327/,1
被我弄丢的你,5.9,57304,韩琰,"檀健次, 张婧仪, 蒋龙, 刘恋, 夏力薪, 侯长荣, 吴玉芳, 果靖霖, 黄小蕾, 张大大, 任彬, 孙芮","剧情, 爱情",电影,2024-03-08(中国大陆),112分钟,"影片改编自郑执原著小说《被我弄丢两次的王斤斤》。
                                    
                                　　2010年夏天，高考考场上，白晓宇（檀健次 饰）第一次遇见王斤斤（张婧仪 饰），就把她给“弄丢”了。
                                    
                                　　四年后，他们在毕业季的求职人潮中意外重逢，然后相恋。
                                    
                                　　2018年，相识八年、相爱五年的他们站在婚姻的门前踌躇不前了。
                                    
                                　　他们彼此相爱却又难逃现实的重重羁绊，白晓宇会再一次 弄丢王斤斤吗……",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2903285621.jpg,中国大陆,汉语普通话,被我弄丢两次的王斤斤 / I Miss You,tt30460177,https://movie.douban.com/subject/36173827/,1
功夫熊猫4 Kung Fu Panda 4,6.3,75826,迈克·米切尔,"杰克·布莱克, 奥卡菲娜, 维奥拉·戴维斯, 达斯汀·霍夫曼, 布莱恩·克兰斯顿, 吴汉章, 伊恩·麦柯肖恩, 关继威, 钱信伊, 洛瑞·坦·齐恩, 塞斯·罗根, 吉米·唐纳森, 詹姆士·谢, 塞德里克·亚伯勒, 艾普尔·洪, 塞塞·瓦伦蒂娜, James Murray, Vic Chao, Audrey Brooke, Lincoln Nakamura","喜剧, 动作, 动画, 奇幻, 冒险",动漫,2024-03-22(中国大陆),94分钟,神龙大侠阿宝（杰克·布莱克 Jack Black 配音）再度归来，要被师父（达斯汀·霍夫曼 Dustin Hoffman 配音）强行进阶修行。系列全新最强反派魅影妖后（维奥拉·戴维斯 Viola Davis 配音）登场，神秘莫测的她可以幻化成每一个阿宝的昔日宿敌。此次阿宝又结识了小真（奥卡菲娜 Awkwafina 配音）等新伙伴，并将一同开启这场冒险旅程。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2903578097.jpg,美国 / 中国大陆,英语,,tt21692408,https://movie.douban.com/subject/26715496/,1
拯救嫌疑人,5.8,141356,张末,"张小斐, 李鸿其, 惠英红, 王子异, 洪浚嘉, 尹子维, 包上恩, 王弋萱, 汤镇业, 刘欢, 来喜","剧情, 悬疑, 犯罪",电影,2023-11-01(中国大陆),119分钟,"某东南亚国家，华人律师陈智琪（张小斐 饰）正值事业的巅峰期，她所向披靡，连续累积了三十场不败的辩护纪录，名声在业内和社会上广为人知的同时，也遭受着来自检方和原告的质疑与咒骂。平日里忙于工作的她，终于抽出空参加女儿恩恩（王弋萱 饰）的幼儿园运动会，可谁曾想女儿就在众目睽睽被人绑架。在此之后，智琪惶恐不已，而警方不以为意的态度更令她失望无助。没过多久，神秘人送来女儿的照片和一部手机，并通过电话要求他五天之内为一审被判处死刑的青年丹温（洪浚嘉 饰）做无罪辩护，否则就要撕票。
                                    
                                　　无奈之下，智琪只得接收这桩案子，并找来正被停职的发小——刑警金志雄（李鸿其 饰）协助调查辩护证据。争分夺秒，正邪对立，又对错莫辨……",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2900091126.jpg,中国大陆,汉语普通话 / 英语,中国版七天 / Last Suspect / Who's The Suspect,tt20836144,https://movie.douban.com/subject/35875180/,1
蜘蛛夫人：超感觉醒 Madame Web,4.5,21609,S·J·克拉克森,"达科塔·约翰逊, 西德尼·斯维尼, 伊莎贝拉·莫塞德, 塞莱斯特·奥康纳, 塔哈·拉希姆, 亚当·斯科特, 艾玛·罗伯茨, 凯瑞·碧许, 迈克·艾普斯, 佐莎·马梅特, 何塞·马利亚·亚兹皮克, 凯西-安·哈特, 乔什·德伦宁, 尤马·费德曼, 米兰达·阿德克杰, 黛德利·麦克科特, 纳希姆·加西亚, 吉尔·亨内斯, 萝丝玛丽·克里普, 布莱恩·法赫蒂","动作, 科幻, 冒险",电影,2024-03-01(中国大陆),116分钟,电影讲述了漫威漫画中最神秘的女超级英雄的起源故事。急救护工凯茜（蜘蛛夫人，达科塔·约翰逊 Dakota Johnson 饰）因一场意外发现自己能够预知未来，在探寻能力起源的过程中，她与三位蜘蛛女的命运紧密联结在一起。面对反派“毒蜘蛛”以西结的追杀，蜘蛛夫人试图找明原因。穿梭在时间线中的她们将如何利用预知未来的能力改变世界命运？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2903717056.jpg,美国,英语,蜘蛛夫人(港/台) / 蜘蛛女：超感觉醒,tt11057302,https://movie.douban.com/subject/34846514/,1
唐人街探案2,6.1,62314,姚文逸,"邱泽, 尚语贤, 杨谨华, 钟镇涛, 俞灏明, 张艺上, 熊黛林, 翁虹, 邓恩熙, 荣梓杉, 王宝强, 刘昊然, 肖央, 张钧甯, 托尼·贾, 杜德伟, 吕颂贤, 连凯, 马浴柯, 周楚濋, 傅隽, 楼学贤, 王乙, 易天雄, 鹤男, 恬妞, 徐东, 孟芷旭, 赵永洪, 何昕霖, 张世, 李星瑶, 闵健, 王以纶, 饶雪晶, 张熙然, 孙伊涵, 唐文龙, 蒋昀霖, 岳辛, 尹子维","悬疑, 犯罪",电视剧,2024-02-29(中国大陆),45分钟,“唐探宇宙”原班人马惊喜回归，四个全新悬疑推理单元《天使的旋律》《恶魔的呼吸》《游乐园》《黄金城》。城市之间罪恶涌动，侦探林默（邱泽 饰）、Kiko（尚语贤 饰）谜案穿梭各显神通。2024，CRIMASTER侦探排行榜重新洗牌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2905094554.jpg,中国大陆,汉语普通话,唐人街探案 第二季 / 唐人街探案网剧2 / 唐探2 / Detective Chinatown2,tt22475188,https://movie.douban.com/subject/35626867/,16
周处除三害 周處除三害,8.1,937393,黄精甫,"阮经天, 袁富华, 陈以文, 王净, 谢琼煖, 李李仁, 刘子铨, 曾珮瑜, 陈秉佑, 游安顺, 郑有杰, 盛鉴, 吴奕蓉, 黄迪扬, 曾向镇, 沈威年, 杨迦恩, 曾皓泽, 郑永岳, 张启乐, 苏耀庭, 练家豪, 李明哲, 廖威迪, 罗振佑, 王又正, 林君柔, 黄瀚德, 刘子朋, 罗能华, 许莉廷, 林瑞华, 刘禾育, 郭容腾, 李年雄, 许德城, 黄惠卿, 刘昕昊","动作, 犯罪",电影,2024-03-01(中国大陆),134分钟,"通缉犯陈桂林（阮经天 饰）在逃亡藏匿中失去最后一个亲人，同时得知自己只有不到三个月的生命。万念俱灰的他原打算投案自首，可是当发现他在三大通缉犯中仅仅排名第三时，内心突然躁动起来。在此之后，他决定仿效古时候周处除三害的故事，临终之际要在江湖上留下他的传奇名号。通过地下医生张贵卿（谢琼煖 饰），陈桂林找到了分别排名第二和第一的香港仔（袁富华 饰）和牛头的线索，随后踏上征途。贪嗔痴，三毒熬煎，红尘混沌之人，被业障缠绕，永远无法跳脱因果轮回……
                                    
                                　　电影引用的“周处除三害”典故，见于《晋书·周处传》和《世说新语》。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2905021483.jpg,中国台湾,汉语普通话 / 闽南语 / 粤语,"The Pig, the Snake, and the Pigeon",tt29319990,https://movie.douban.com/subject/36151692/,1
照明商店,6.2,92969,蔡耳朵,"章若楠, 白宇帆, 刘奕君, 黄澄澄, 柳岩, 张琪, 孙美林, 陈思诺, 郑恺, 孙千, 曹炳琨, 海陆, 许童心, 蔡耳朵","剧情, 悬疑, 奇幻",电影,2023-12-08(中国大陆),99分钟,"深巷的尽头，一间“照明商店”长年亮着灯，神秘的老板（刘奕君 饰）细心擦拭着每一个灯泡，形形色色的客人络绎不绝。护士许念（章若楠 饰）和男友郑满（白宇帆 饰）新搬进了商店附近的公寓。她渐渐发现，这里的每一个人，心底都有一个不可言说的秘密。暴风雨之夜，她走进了巷尾的照明商店，答案渐渐被揭开……
                                    
                                　　影片改编自姜草同名漫画《照明商店》。",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2901397955.jpg,中国大陆,汉语普通话,Love Life Light / The Shop of the Lamp,tt29552831,https://movie.douban.com/subject/36086210/,1
一人之下·锈铁重现,6.5,8569,陈烨,"曹云图, 小连杀","动画, 奇幻",动漫,2024-02-15(中国大陆),70分钟,"张楚岚和冯宝宝二人所在的哪都通公司派遣了一个特别任务﹣﹣护送昔日的宝刀""蛭丸""到边境，完成和瀛国石川家一个几十年的约定。张楚岚和冯宝宝将面对陌生的队友、冬日恶劣的北地天气和虎视眈眈的夺刀强敌。一场""蛭丸""保卫战在林海雪原打响。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2904308777.jpg,中国大陆,汉语普通话,一人之下剧场版：锈铁篇,无,https://movie.douban.com/subject/36645798/,1
缉恶,5.7,8624,霍穗强,"谢苗, 安志杰, 连凯, 洪爽, 尹聪, 顾靖, 李梓嘉, 韩锐, 梁俊一, 吴靖萱, 刘萨萨","剧情, 动作, 犯罪",电影,2024-02-12(中国大陆网络),103分钟,影片讲述了缉毒警察黄铭金与“神秘人”魏云周，通过完全不同的手段和方式，在相互之间的谋算与角力过程中，撕开了城市粉饰太平的面纱，揭露幕后黑手“隆王”编织的地下毒网，最终以正义之利剑铲除黑暗、终见曙光的故事。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2904076731.jpg,中国大陆,汉语普通话,Hunt The Wicked,tt31704401,https://movie.douban.com/subject/36402338/,1
创可贴 반창꼬,7.3,46038,郑基训,"高洙, 韩孝周, 安智惠, 刘弼兰, 金成伍, 马东锡, 赵敏基, 金英熊, 吴秀敏, 郑镇荣, 玄朱妮, 陈瑞妍","剧情, 喜剧, 爱情",电影,2012-12-19(韩国),120分钟,"消防员与医生，两种不同的职业，性质却是一样的，都是救人于水火之中。但同样的，身处这两种职业的人们也需要被治愈，需要创口贴来愈合伤口。
                                    
                                　　作为消防员的姜一（高修 饰）整日穿梭于大街小巷，拯救他人生命，可却挽救不了妻子的生命；大大咧咧，看似没心没肺的女医生美秀（韩孝珠 饰）内心却因为一次医疗事故而封闭了自己。二位满身伤口的人相遇于一次救助行动，美秀被姜一所吸引，大胆展开了追求，熊熊烈火，冰山也会渐渐融化。每日都与死亡打交道，但也见证生命的力量和奇迹的诞生，让二人更加体会到生存的意义和眼前人的珍贵，在一来一往中，互相抚慰了内心的伤痛，成为了彼此伤口的创口贴。",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1768410538.jpg,韩国,韩语,创口贴 / 真爱911 / Love 911 / Banchangkko,tt2592808,https://movie.douban.com/subject/10439235/,1
今夜，就算这份爱恋从世界上消失 今夜、世界からこの恋が消えても,7.8,45665,三木孝浩,"道枝骏佑, 福本莉子, 古川琴音, 松本穗香, 萩原圣人, 野波麻帆, 水野真纪, 野间口彻, 前田航基, 西垣匠","剧情, 爱情",电影,2024-05-18(中国大陆),122分钟,"为了阻止同班同学遭受霸凌，阳光大男孩神谷透（道枝骏佑 饰）被霸凌者们指示去向同级生日野真织（福本莉子 饰）表白。原本想看神谷的笑话，谁知真织居然真得答应了下来。此后神谷惴惴不安，试图解释，而真织干脆提出不如假戏真做，并且提出了三个略显奇怪的交往条件。神谷当然不知道，眼前的女孩正经历怎样匪夷所思的人生。一场车祸，导致真织患上了顺行性遗忘症，一觉醒来她无法想起之前发生的事，只能靠着墙上的提示和手边的日记恶补过去一段时间的点点滴滴。而为了防止有人借此欺负真织，这个秘密只有她的父母以及最信赖的好友小泉（古川琴音 饰）知晓。于是，这段充满未知和新奇的恋爱悄然开始，少男少女面带笑容，不知明天归往何处……
                                    
                                　　本片根据一条岬的同名原著小说改编。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2908150912.jpg,日本,日语,今夜，就算这份爱从世上消失 / 即使今夜，这段恋情将从世上消失 / 即使这份爱今夜从世上消失(港) / Even If This Love Disappears Tonight,tt21115444,https://movie.douban.com/subject/35772573/,1
首尔之春 서울의 봄,8.8,189945,金成洙,"黄政民, 郑雨盛, 李星民, 朴解浚, 金成畇, 朴勋, 安世镐, 郑栋焕, 金义城, 徐光载",剧情,电影,2023-11-22(韩国),141分钟,"1979年10月26日，时任韩国总统的朴正熙被自己的亲信射杀，局势顿时波谲云诡。为调查此事，陆军保安司令官全斗光（黄政民 饰）被任命为联合调查总部部长，而这个天生反骨的男人趁机扩大自己的势力，拉帮结伙，培植亲信，狼子野心昭然若揭。为了牵制全斗光，参谋总长任命将军李泰信（郑雨盛 饰）担任首都警备司令官，以防肘腋之变。与此同时，全斗光感受到来自总长的威胁，于是纠集亲信密谋逮捕总长，试图先下手为强。谁曾想全的人马急于求成，在未能逼迫代总统签署逮捕令之前便展开行动。成王败寇，一旦失败就会成为韩国的叛国者。一不做二不休的全斗光索性揭竿而起。
                                    
                                　　而孤军奋战的李泰信，将秉承最朴素的信念与叛军展开对抗……",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2900335741.jpg,韩国,韩语,12.12：首尔之春(台) / 12.12: The Day,tt22507524,https://movie.douban.com/subject/35712804/,1
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",9.1,625635,盖·里奇,"杰森·弗莱明, 德克斯特·弗莱彻, 尼克·莫兰, 杰森·斯坦森, 斯蒂文·麦金托什, 尼古拉斯·罗尔, 维尼·琼斯, 蓝尼·麦克林, P.H.莫里亚蒂, 弗兰克·哈珀, 史蒂夫·斯威尼, 哈吉·利弗, 罗尼·福克斯, 斯蒂芬·马库斯, 瓦斯·布莱克伍德, 斯汀, 杰克·亚伯拉罕, 罗伯·布莱顿, 薇拉·黛, 阿兰·福德, 席德·戈尔德, 丹尼·约翰-儒勒, 维克多·麦奎尔, 安德鲁·蒂曼, 马修·沃恩, 布拉德·雅各布维茨","剧情, 喜剧, 犯罪",电影,1998-08-28(英国),107分钟,"艾迪（尼克·莫伦）思维敏捷，是个玩牌高手。在三个好友的支持下，艾迪携巨资参加了黑社会的高额赌局，不想落入圈套，欠下50万的赌债。为了还清赌债，艾迪和朋友们绞尽脑汁，最终算计到一群毒贩身上，并为打劫购买了两杆老式烟枪。
                                    
                                　　不想这群不安分的毒贩，正惦念着他们毒品供应商的钱，并在同一天实施了打劫。在毒贩们费尽周折，把毒品供应商熨的整整齐齐的钱款拿到手后，艾迪他们幸运的坐享其成。可是他们不知道，这看似简单的抢劫案背后，更有厉害的角色参与其中。他们手里的两杆破烟枪也隐藏着不少故事。
                                    
                                　　在无知与莽撞中置身漩涡的他们能侥幸脱身么？笑料迭出的偶发事件里，穿插着小人物与大人物的辛酸幽默。",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,英国,英语,够姜四小强(港) / 两根枪管(台) / 两只老烟枪 / 魔高一丈 / 两杆老烟枪,tt0120735,https://movie.douban.com/subject/1293350/,1
隔山有眼2 The Hills Have Eyes II,6.4,25412,马丁·韦兹,"麦克·麦克米兰, 杰西卡·斯特普, 丹妮拉·阿隆索, 迈克尔·贝利·史密斯, 德里克·梅耶斯","惊悚, 恐怖",电影,2007-03-23(美国),89 分钟,美国新墨西哥州的炎热荒地里，经常发生神秘失踪事件，又因其与世隔绝，里面的凄惨故事很难为外界所知。在卡特家族误入变异食人魔领地惨遭杀戮之后一年，一行八人的国防护卫队士兵又被排到这片戈壁滩执行训练任务。在其余六人被派到山里时，剩下被罚站的法国裔士兵拿破仑（麦克·麦克米兰 Michael McMillian 饰）与金发女兵安博尔（杰西卡·斯托普 Jessica Stroup 饰）在基地留守。异状很快发生，厕所里面伸出一只可怕的手，一位全身被粪便入侵的科学家爬了出来，留下一句“小心他们”就死去了，安博尔坚持上山寻找其他人发出警告，怎料变异食人魔们早就在错综复杂的山道布下天罗地网，等待倒霉的猎物们前来送死……,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1501507869.jpg,美国,英语,深山大屠杀2 / 魔山2: 隔山有眼,tt0800069,https://movie.douban.com/subject/1839857/,1
